id,genus
520,1
3800,1
3289,1
2695,1
4922,1
1934,1
3704,1
4017,1
3331,1
173,1
2983,1
116,1
4938,1
3524,1
346,1
631,1
3588,1
3321,1
2237,1
1180,1
1725,1
4067,1
2675,1
728,1
1815,1
1722,1
1377,1
432,1
1506,1
1705,1
4636,1
2574,1
1649,1
4868,1
4257,1
740,1
2110,1
4305,1
2151,1
689,1
1425,1
150,1
524,1
151,1
1066,1
571,1
3789,1
829,1
758,1
2442,1
4031,1
347,1
717,1
1086,1
1335,1
351,1
670,1
4307,1
2724,1
483,1
398,1
682,1
1800,1
1903,1
3251,1
4450,1
2713,1
506,1
2837,1
4674,1
4153,1
652,1
818,1
4943,1
3380,1
889,1
4466,1
1247,1
624,1
2095,1
2599,1
1983,1
4765,1
4749,1
4744,1
2895,1
4869,1
2396,1
3303,1
1101,1
2760,1
3216,1
2936,1
3356,1
4578,1
3495,1
4632,1
3845,1
4011,1
1902,1
830,1
4004,1
1331,1
1758,1
1478,1
1503,1
3350,1
822,1
452,1
4225,1
4833,1
256,1
4021,1
2632,1
58,1
4232,1
1320,1
2400,1
773,1
1318,1
1741,1
3338,1
1898,1
467,1
2503,1
326,1
1206,1
2335,1
705,1
3970,1
2889,1
2397,1
960,1
1321,1
1596,1
3874,1
2710,1
2044,1
2090,1
1632,1
251,1
1603,1
2246,1
1152,1
1440,1
2392,1
3067,1
2066,1
4810,1
2917,1
2370,1
3745,1
395,1
2578,1
1585,1
65,1
4062,1
1479,1
4019,1
2485,1
3489,1
859,1
2830,1
479,1
902,1
2466,1
3834,1
2232,1
4565,1
4927,1
2944,1
1978,1
4724,1
3738,1
275,1
472,1
1397,1
3879,1
3217,1
231,1
4360,1
272,1
3368,1
3656,1
2329,1
4236,1
1187,1
940,1
3345,1
935,1
3802,1
1578,1
33,1
20,1
384,1
4258,1
2829,1
2618,1
3166,1
844,1
2673,1
3457,1
389,1
4085,1
1668,1
4566,1
2600,1
1680,1
972,1
3595,1
3377,1
358,1
1661,1
3561,1
1522,1
1255,1
1743,1
4876,1
4111,1
1600,1
1428,1
3285,1
565,1
1636,1
4777,1
4569,1
1361,1
2857,1
4123,1
2692,1
3639,1
3241,1
495,1
4363,1
1069,1
3182,1
3196,1
2530,1
4336,1
2588,1
364,1
4844,1
3727,1
4402,1
4168,1
4235,1
4452,1
1499,1
2141,1
2196,1
85,0
87,0
92,0
109,0
123,0
126,0
130,0
134,0
140,0
181,0
186,0
195,0
228,0
265,0
269,0
270,0
306,0
365,0
366,0
381,0
391,0
408,0
409,0
478,0
496,0
500,0
544,0
616,0
630,0
650,0
655,0
698,0
701,0
753,0
760,0
779,0
807,0
837,0
858,0
874,0
898,0
913,0
926,0
930,0
938,0
968,0
991,0
1036,0
1054,0
1078,0
1087,0
1106,0
1123,0
1151,0
1155,0
1175,0
1176,0
1205,0
1245,0
1261,0
1270,0
1279,0
1304,0
1343,0
1344,0
1347,0
1358,0
1369,0
1381,0
1424,0
1447,0
1482,0
1492,0
1504,0
1508,0
1590,0
1672,0
1678,0
1681,0
1711,0
1715,0
1751,0
1778,0
1780,0
1865,0
1868,0
1879,0
1924,0
1935,0
1939,0
1966,0
1976,0
2002,0
2011,0
2025,0
2043,0
2113,0
2142,0
2149,0
2157,0
2162,0
2168,0
2182,0
2192,0
2199,0
2220,0
2224,0
2239,0
2243,0
2279,0
2323,0
2330,0
2333,0
2351,0
2363,0
2449,0
2455,0
2495,0
2512,0
2521,0
2556,0
2558,0
2565,0
2570,0
2622,0
2643,0
2656,0
2657,0
2679,0
2683,0
2715,0
2722,0
2753,0
2772,0
2773,0
2780,0
2784,0
2794,0
2845,0
2851,0
2887,0
2910,0
2929,0
2949,0
2975,0
3001,0
3003,0
3007,0
3015,0
3021,0
3052,0
3078,0
3086,0
3106,0
3118,0
3121,0
3132,0
3146,0
3179,0
3201,0
3214,0
3229,0
3286,0
3307,0
3308,0
3336,0
3366,0
3392,0
3407,0
3450,0
3464,0
3472,0
3490,0
3515,0
3539,0
3548,0
3560,0
3604,0
3644,0
3662,0
3665,0
3668,0
3669,0
3680,0
3690,0
3692,0
3720,0
3725,0
3728,0
3753,0
3763,0
3772,0
3782,0
3809,0
3844,0
3858,0
3870,0
3875,0
3897,0
3901,0
3911,0
3926,0
3963,0
3977,0
3979,0
3983,0
3987,0
3992,0
3998,0
4026,0
4036,0
4049,0
4083,0
4086,0
4099,0
4104,0
4109,0
4184,0
4231,0
4260,0
4283,0
4315,0
4317,0
4324,0
4368,0
4378,0
4386,0
4394,0
4418,0
4449,0
4487,0
4535,0
4548,0
4570,0
4582,0
4612,0
4616,0
4618,0
4633,0
4645,0
4660,0
4774,0
4795,0
4809,0
4882,0
4914,0
4931,0
4947,0
4952,0
72,0
